TIC ID,class,confidence
108567854,Delta Scuti,0.97843391
192263424,Delta Scuti,0.97842795
114788209,Delta Scuti,0.97841221
264163127,Delta Scuti,0.97835892
354410962,Delta Scuti,0.97835803
367370090,Delta Scuti,0.97822177
310309046,Delta Scuti,0.97819763
376977674,Delta Scuti,0.97818941
427739240,Delta Scuti,0.97818768
268052589,Delta Scuti,0.97816032
75881632,Delta Scuti,0.97812337
443900046,Delta Scuti,0.97804946
294097368,Delta Scuti,0.97804445
435710525,Delta Scuti,0.97802246
224544751,Delta Scuti,0.97797662
272489559,Delta Scuti,0.97793818
427739240,Delta Scuti,0.977908909
393880762,Delta Scuti,0.97790217
261203891,Delta Scuti,0.97787207
401978879,Delta Scuti,0.97787046
260947147,Delta Scuti,0.97784895
436138120,Delta Scuti,0.97780514
258978550,Delta Scuti,0.9777689
4167254,Delta Scuti,0.97770625
384999905,Delta Scuti,0.97769725
215582288,Delta Scuti,0.97767168
58625248,Delta Scuti,0.97766268
243228551,Delta Scuti,0.97764581
97491785,Delta Scuti,0.97760868
294097368,Delta Scuti,0.977557
294097368,Delta Scuti,0.97748226
135428006,Delta Scuti,0.97746098
142082235,Delta Scuti,0.97740912
313437640,Delta Scuti,0.97736573
141974614,Delta Scuti,0.97733957
376977674,Delta Scuti,0.97726715
251180918,Delta Scuti,0.97726643
326425350,Delta Scuti,0.97716707
187452313,Delta Scuti,0.97713417
323710333,Delta Scuti,0.97713017
416760165,Delta Scuti,0.97711527
242558187,Delta Scuti,0.97706211
150785574,Delta Scuti,0.97705108
402415889,Delta Scuti,0.97704917
149769633,Delta Scuti,0.97702217
323710333,Delta Scuti,0.97701776
21967369,Delta Scuti,0.97698545
8362121,Delta Scuti,0.97697347
78006928,Delta Scuti,0.97692901
153288878,Delta Scuti,0.97687304
151240150,Delta Scuti,0.97685814
16053262,Delta Scuti,0.9768346
33290448,Delta Scuti,0.9768241
97491785,Delta Scuti,0.9767893
75881632,Delta Scuti,0.97677034
157441688,Delta Scuti,0.9767502
378423301,Delta Scuti,0.97674805
18997890,Delta Scuti,0.9767229
427464597,Delta Scuti,0.97667027
130924175,Delta Scuti,0.97664249
39406171,Delta Scuti,0.976528943
377158163,Delta Scuti,0.97652709
15391879,Delta Scuti,0.97648847
247296415,Delta Scuti,0.97646594
447954621,Delta Scuti,0.97642547
45245048,Delta Scuti,0.97641641
307586438,Delta Scuti,0.97641504
181598285,Delta Scuti,0.9763757
78006928,Delta Scuti,0.97635752
298328904,Delta Scuti,0.9763397
217281803,Delta Scuti,0.97632402
390019991,Delta Scuti,0.97627741
431479727,Delta Scuti,0.97625834
53905457,Delta Scuti,0.976255357
166984647,Delta Scuti,0.97623175
83374825,Delta Scuti,0.97623026
382784899,Delta Scuti,0.97622991
75054460,Delta Scuti,0.97619969
67127214,Delta Scuti,0.97613436
364110020,Delta Scuti,0.97609872
41256025,Delta Scuti,0.97607952
125353405,Delta Scuti,0.97606689
267937362,Delta Scuti,0.97595924
66510457,Delta Scuti,0.97579908
393387344,Delta Scuti,0.97578418
108288789,Delta Scuti,0.97573936
401978879,Delta Scuti,0.97566593
299377216,Delta Scuti,0.97566527
142123434,Delta Scuti,0.97566098
172367948,Delta Scuti,0.97557497
120511762,Delta Scuti,0.97557312
75219691,Delta Scuti,0.97553104
27846290,Delta Scuti,0.97552061
326452246,Delta Scuti,0.97551924
207379511,Delta Scuti,0.97544277
123576485,Delta Scuti,0.97542691
76066301,Delta Scuti,0.975300908
25102797,Delta Scuti,0.97528857
231864125,Delta Scuti,0.97526044
167571515,Delta Scuti,0.97525376
243173546,Delta Scuti,0.97518653
343408049,Delta Scuti,0.97517461
